Exercice;Fonctions;Recette/Prestations ;Recette/Transferts ;Recette/Dette ;Recette/Total ;Recette/Prélèvements ;Recette/TotalAvecPrélèvement ;Dépenses/Personnel ;Dépenses/Fonctionnement ;Dépenses/Transferts ;Dépenses/Dette ;Dépenses/Total ;Dépenses/Prélèvements ;Dépenses/TotalAprèsPrélèvements
2015;149 Calamités;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;159 Relations avec l'étranger;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;699 Agriculture;32200.0;0.0;0.0;32200.0;0.0;32200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;729 Ens.gard(721), Ens.prim(722);0.0;3053056.07;0.0;3053056.07;0.0;3053056.07;3583006.64;805584.83;19157.0;903671.61;5311420.08;0.0;5311420.08
2015;749 Enseignement supérieur;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;799 Cultes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57000.0;1050000.0;267194.45;1374194.45;0.0;1374194.45
2015;839 Sécurité et Assist. sociale;13500.0;1443889.26;0.0;1457389.26;460000.0;1917389.26;1601999.4;131125.0;15986237.48;0.0;17719361.88;0.0;17719361.88
2015;859 Emploi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;877 Eaux usées;5000.0;0.0;0.0;5000.0;0.0;5000.0;0.0;64400.5;156854.4;350337.87;571592.77;0.0;571592.77
2015;879 Cimetières-Protec.environ.;330000.0;292100.05;0.0;622100.05;0.0;622100.05;850268.96;120825.0;48988.0;68715.51;1088797.47;0.0;1088797.47
2014;059 Assurances;4500.0;8000.0;0.0;12500.0;0.0;12500.0;0.0;325000.0;0.0;0.0;325000.0;0.0;325000.0
2014;149 Calamités;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;159 Relations avec l'étranger;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;169 Aide aux pays en voie de développement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;499 Communic. - Voirie - Cours D'eau;61948.23;2660216.19;4577.8;2726742.22;0.0;2726742.22;8162596.38;2246627.0;5000.0;3114482.36;13528705.74;0.0;13528705.74
2014;729 Ens.gard(721), Ens.prim(722);180000.0;2815997.65;0.0;2995997.65;0.0;2995997.65;3703001.92;1017965.0;19057.0;809390.55;5549414.47;0.0;5549414.47
2014;749 Enseignement supérieur;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;839 Sécurité et Assist. sociale;13500.0;1344862.13;0.0;1358362.13;0.0;1358362.13;1495410.54;68205.0;16239054.15;0.0;17802669.69;4600000.0;22402669.69
2014;874 Alimentation - Eau;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
